No,Date,Total AF,Total Acc AF,Max G/M
 1,01/23/21, 0.00, 0.00,0.00
 2,01/24/21, 0.00, 0.00,0.00
 3,01/25/21, 0.00, 0.00,0.00
 4,01/26/21, 0.00, 0.00,0.00
 5,01/27/21, 0.00, 0.00,0.00
 6,01/28/21, 0.00, 0.00,0.00
 7,01/29/21, 0.00, 0.00,0.00
 8,01/30/21, 0.00, 0.00,0.00
 9,01/31/21, 0.00, 0.00,0.00
10,02/01/21, 0.00, 0.00,0.00
11,02/02/21, 0.00, 0.00,0.00
12,02/03/21, 0.00, 0.00,0.00
13,02/04/21, 0.00, 0.00,0.00
14,02/05/21, 0.00, 0.00,0.00
15,02/06/21, 0.00, 0.00,0.00
16,02/07/21, 0.00, 0.00,0.00
17,02/08/21, 0.00, 0.00,0.00
18,02/09/21, 0.00, 0.00,0.00
19,02/10/21, 0.00, 0.00,0.00
20,02/11/21, 0.00, 0.00,0.00
21,02/12/21, 0.00, 0.00,0.00
22,02/13/21, 0.00, 0.00,0.00
23,02/14/21, 0.00, 0.00,0.00
24,02/15/21, 0.00, 0.00,0.00
25,02/16/21, 0.00, 0.00,0.00
26,02/17/21, 0.00, 0.00,0.00
27,02/18/21, 0.00, 0.00,0.00
28,02/19/21, 0.00, 0.00,0.00
29,02/20/21, 0.00, 0.00,0.00
30,02/21/21, 0.00, 0.00,0.00
31,02/22/21, 0.00, 0.00,0.00
32,02/23/21, 0.00, 0.00,0.00
33,02/24/21, 0.00, 0.00,0.00
34,02/25/21, 0.00, 0.00,0.00
35,02/26/21, 0.00, 0.00,0.00
36,02/27/21, 0.00, 0.00,0.00
37,02/28/21, 0.00, 0.00,0.00
38,03/01/21, 0.00, 0.00,0.00
39,03/02/21, 0.00, 0.00,0.00
40,03/03/21, 0.00, 0.00,0.00
41,03/04/21, 0.00, 0.00,0.00
42,03/05/21, 0.00, 0.00,0.00
43,03/06/21, 0.00, 0.00,0.00
44,03/07/21, 0.00, 0.00,0.00
45,03/08/21, 0.00, 0.00,0.00
46,03/09/21, 0.00, 0.00,0.00
47,03/10/21, 0.00, 0.00,0.00
48,03/11/21, 0.58, 0.58,412.30
49,03/12/21, 1.32, 1.90,357.13
50,03/13/21, 0.91, 2.81,374.99
51,03/14/21, 0.00, 2.81,0.00
52,03/15/21, 0.19, 3.00,437.62
53,03/16/21, 0.00, 3.00,0.00
54,03/17/21, 0.90, 3.90,519.97
55,03/18/21, 0.85, 4.76,326.75
56,03/19/21, 0.00, 4.76,0.00
57,03/20/21, 0.00, 4.76,0.00
58,03/21/21, 0.77, 5.53,396.57
59,03/22/21, 1.15, 6.67,313.95
60,03/23/21, 1.11, 7.78,307.82
61,03/24/21, 1.05, 8.83,300.09
62,03/25/21, 1.20,10.03,282.77
63,03/26/21, 0.61,10.64,284.37
64,03/27/21, 0.49,11.13,310.49
65,03/28/21, 0.67,11.79,172.97
66,03/29/21, 0.63,12.43,144.45
67,03/30/21, 0.28,12.71,143.12
68,03/31/21, 0.00,12.71,0.00
69,04/01/21, 0.00,12.71,0.00
70,04/02/21, 0.68,13.39,441.35
71,04/03/21, 1.26,14.65,307.56
72,04/04/21, 1.31,15.95,305.43
73,04/05/21, 1.28,17.23,447.21
74,04/06/21, 1.26,18.50,292.10
75,04/07/21, 1.26,19.76,373.92
76,04/08/21, 1.24,21.00,291.57
77,04/09/21, 1.29,22.29,418.16
78,04/10/21, 1.31,23.60,299.83
79,04/11/21, 0.05,23.65,371.79
80,04/12/21, 0.60,24.25,375.52
81,04/13/21, 1.33,25.58,311.02
82,04/14/21, 1.11,26.69,444.55
83,04/15/21, 1.32,28.01,305.16
84,04/16/21, 0.91,28.91,386.71
85,04/17/21, 0.37,29.29,298.50
86,04/18/21, 0.94,30.23,475.73
87,04/19/21, 0.98,31.21,315.82
88,04/20/21, 1.20,32.41,279.31
89,04/21/21, 1.00,33.40,293.97
90,04/22/21, 1.23,34.63,287.04
91,04/23/21, 1.01,35.64,301.96
92,04/24/21, 1.18,36.83,300.89
93,04/25/21, 1.08,37.91,273.98
94,04/26/21, 1.17,39.08,276.91
95,04/27/21, 0.80,39.88,284.90
96,04/28/21, 0.79,40.66,311.02
97,04/29/21, 0.88,41.54,309.96
98,04/30/21, 0.98,42.52,349.40
99,05/01/21, 0.45,42.97,345.94
100,05/02/21, 1.11,44.09,370.19
101,05/03/21, 1.14,45.22,387.78
102,05/04/21, 1.08,46.30,422.16
103,05/05/21, 1.40,47.70,482.66
104,05/06/21, 1.67,49.37,616.18
105,05/07/21, 1.04,50.41,471.73
106,05/08/21, 0.71,51.12,358.99
107,05/09/21, 0.00,51.12,0.00
108,05/10/21, 0.56,51.68,457.60
109,05/11/21, 0.36,52.04,460.27
110,05/12/21, 0.00,52.04,0.00
111,05/13/21, 0.00,52.04,0.00
112,05/14/21, 0.00,52.04,0.00
113,05/15/21, 0.00,52.04,0.00
114,05/16/21, 0.00,52.04,0.00
115,05/17/21, 0.00,52.04,14.39
116,05/18/21, 0.00,52.04,0.00
117,05/19/21, 0.00,52.04,0.00
118,05/20/21, 0.00,52.04,0.00
119,05/21/21, 0.00,52.04,0.00
120,05/22/21, 0.00,52.04,0.00
121,05/23/21, 0.00,52.04,0.00
122,05/24/21, 0.00,52.04,0.00
123,05/25/21, 0.00,52.04,0.00
124,05/26/21, 0.00,52.04,0.00
125,05/27/21, 0.00,52.04,0.00
126,05/28/21, 0.00,52.04,0.00
127,05/29/21, 0.00,52.04,0.00
128,05/30/21, 0.00,52.04,0.00
129,05/31/21, 0.00,52.04,0.00
130,06/01/21, 0.00,52.04,0.00
131,06/02/21, 0.00,52.04,0.00
132,06/03/21, 0.00,52.04,0.00
133,06/04/21, 0.00,52.04,0.00
134,06/05/21, 0.00,52.04,0.00
135,06/06/21, 0.00,52.04,0.00
136,06/07/21, 0.00,52.04,0.00
137,06/08/21, 0.00,52.04,0.00
138,06/09/21, 0.00,52.04,0.00
139,06/10/21, 0.00,52.04,0.00
140,06/11/21, 0.00,52.04,0.00
141,06/12/21, 0.00,52.04,0.00
142,06/13/21, 0.00,52.04,0.00
143,06/14/21, 0.00,52.04,0.00
144,06/15/21, 0.00,52.04,0.00
145,06/16/21, 0.00,52.04,0.00
146,06/17/21, 0.00,52.04,0.00
147,06/18/21, 0.00,52.04,0.00
148,06/19/21, 0.00,52.04,0.00
149,06/20/21, 0.00,52.04,0.00
150,06/21/21, 0.00,52.04,0.00
151,06/22/21, 0.00,52.04,0.00
152,06/23/21, 0.00,52.04,0.00
153,06/24/21, 0.00,52.04,0.00
154,06/25/21, 0.00,52.04,0.00
155,06/26/21, 0.00,52.04,0.00
156,06/27/21, 0.00,52.04,0.00
157,06/28/21, 0.00,52.04,0.00
158,06/29/21, 0.00,52.04,0.00
159,06/30/21, 0.00,52.04,0.00
160,07/01/21, 0.00,52.04,0.00
161,07/02/21, 0.00,52.04,0.00
162,07/03/21, 0.00,52.04,0.00
163,07/04/21, 0.00,52.04,0.00
164,07/05/21, 0.00,52.04,0.00
165,07/06/21, 0.00,52.04,0.00
166,07/07/21, 0.00,52.04,0.00
167,07/08/21, 0.00,52.04,0.00
168,07/09/21, 0.00,52.04,0.00
169,07/10/21, 0.00,52.04,0.00
170,07/11/21, 0.00,52.04,0.00
171,07/12/21, 0.00,52.04,0.00
172,07/13/21, 0.00,52.04,0.00
173,07/14/21, 0.00,52.04,0.00
174,07/15/21, 0.00,52.04,0.00
175,07/16/21, 0.00,52.04,0.00
176,07/17/21, 0.00,52.04,0.00
177,07/18/21, 0.00,52.04,0.00
178,07/19/21, 0.00,52.04,0.00
179,07/20/21, 0.00,52.04,0.00
180,07/21/21, 0.00,52.04,0.00
181,07/22/21, 0.00,52.04,0.00
182,07/23/21, 0.00,52.04,0.00
183,07/24/21, 0.00,52.04,0.00
184,07/25/21, 0.00,52.04,0.00
185,07/26/21, 0.00,52.04,0.00
186,07/27/21, 0.00,52.04,0.00
187,07/28/21, 0.00,52.04,0.27
188,07/29/21, 0.00,52.04,0.00
189,07/30/21, 0.00,52.04,0.00
190,07/31/21, 0.00,52.04,0.00
191,08/01/21, 0.00,52.04,0.00
192,08/02/21, 0.00,52.04,0.00
193,08/03/21, 0.00,52.04,0.00
194,08/04/21, 0.00,52.04,0.00
195,08/05/21, 0.00,52.04,0.00
196,08/06/21, 0.00,52.04,0.00
197,08/07/21, 0.00,52.04,0.00
198,08/08/21, 0.00,52.04,0.00
199,08/09/21, 0.00,52.04,0.00
200,08/10/21, 0.00,52.04,0.00
201,08/11/21, 0.00,52.04,0.00
202,08/12/21, 0.00,52.04,0.00
203,08/13/21, 0.00,52.04,0.00
204,08/14/21, 0.00,52.04,0.00
205,08/15/21, 0.00,52.04,0.00
206,08/16/21, 0.00,52.04,0.00
207,08/17/21, 0.00,52.04,0.00
208,08/18/21, 0.00,52.04,0.00
209,08/19/21, 0.00,52.04,0.00
210,08/20/21, 0.00,52.04,0.00
211,08/21/21, 0.00,52.04,0.00
212,08/22/21, 0.00,52.04,0.00
213,08/23/21, 0.00,52.04,0.00
214,08/24/21, 0.00,52.04,0.00
215,08/25/21, 0.00,52.04,0.00
216,08/26/21, 0.00,52.04,0.00
217,08/27/21, 0.00,52.04,0.00
218,08/28/21, 0.00,52.04,0.00
219,08/29/21, 0.00,52.04,0.00
220,08/30/21, 0.00,52.04,0.00
221,08/31/21, 0.00,52.04,0.00
222,09/01/21, 0.00,52.04,0.00
223,09/02/21, 0.00,52.04,0.00
224,09/03/21, 0.00,52.04,0.00
225,09/04/21, 0.00,52.04,0.00
226,09/05/21, 0.00,52.04,0.00
227,09/06/21, 0.00,52.04,0.00
228,09/07/21, 0.00,52.04,0.00
229,09/08/21, 0.00,52.04,0.00
230,09/09/21, 0.00,52.04,0.00
231,09/10/21, 0.00,52.04,0.00
232,09/11/21, 0.00,52.04,0.00
233,09/12/21, 0.00,52.04,0.00
234,09/13/21, 0.00,52.04,0.00
235,09/14/21, 0.00,52.04,0.00
236,09/15/21, 0.00,52.04,0.00
237,09/16/21, 0.00,52.04,0.00
238,09/17/21, 0.00,52.04,0.00
239,09/18/21, 0.00,52.04,0.00
240,09/19/21, 0.00,52.04,0.00
241,09/20/21, 0.00,52.04,0.00
242,09/21/21, 0.00,52.04,0.00
243,09/22/21, 0.00,52.04,0.00
244,09/23/21, 0.00,52.04,0.00
245,09/24/21, 0.00,52.04,0.00
246,09/25/21, 0.00,52.04,0.00
247,09/26/21, 0.00,52.04,0.00
248,09/27/21, 0.00,52.04,0.00
249,09/28/21, 0.00,52.04,0.00
250,09/29/21, 0.00,52.04,0.00
251,09/30/21, 0.00,52.04,0.00
252,10/01/21, 0.35,52.39,198.55
253,10/02/21, 0.74,53.13,307.56
254,10/03/21, 0.86,53.98,266.78
255,10/04/21, 0.86,54.84,217.48
256,10/05/21, 0.87,55.71,265.18
257,10/06/21, 0.81,56.52,210.55
258,10/07/21, 0.78,57.30,206.02
259,10/08/21, 0.84,58.15,219.34
260,10/09/21, 0.80,58.95,232.40
261,10/10/21, 0.52,59.46,251.32
262,10/11/21, 0.55,60.02,274.24
263,10/12/21, 0.80,60.82,249.46
264,10/13/21, 0.76,61.58,299.83
265,10/14/21, 1.05,62.63,389.11
266,10/15/21, 1.16,63.79,389.38
267,10/16/21, 1.31,65.10,403.50
268,10/17/21, 0.70,65.81,622.58
269,10/18/21, 1.05,66.86,365.66
270,10/19/21, 1.42,68.28,460.27
271,10/20/21, 1.00,69.28,474.93
272,10/21/21, 0.00,69.28,0.00
273,10/22/21, 0.00,69.28,0.00
274,10/23/21, 0.00,69.28,0.00
275,10/24/21, 0.00,69.28,0.00
276,10/25/21, 0.00,69.28,0.00
277,10/26/21, 0.00,69.28,0.00
278,10/27/21, 0.00,69.28,0.00
279,10/28/21, 0.00,69.28,0.00
280,10/29/21, 0.00,69.28,0.00
281,10/30/21, 0.00,69.28,0.00
282,10/31/21, 0.00,69.28,0.00
283,11/01/21, 0.00,69.28,0.00
284,11/02/21, 0.00,69.28,0.00
285,11/03/21, 0.00,69.28,0.00
286,11/04/21, 0.00,69.28,0.00
287,11/05/21, 0.00,69.28,0.00
288,11/06/21, 0.00,69.28,0.00
289,11/07/21, 0.00,69.28,0.00
290,11/08/21, 0.00,69.28,0.00
291,11/09/21, 0.00,69.28,0.00
292,11/10/21, 0.00,69.28,0.00
293,11/11/21, 0.00,69.28,0.00
294,11/12/21, 0.00,69.28,0.00
295,11/13/21, 0.00,69.28,0.00
296,11/14/21, 0.00,69.28,0.00
297,11/15/21, 0.00,69.28,0.00
298,11/16/21, 0.00,69.28,0.00
299,11/17/21, 0.00,69.28,0.00
300,11/18/21, 0.00,69.28,0.00
301,11/19/21, 0.00,69.28,0.00
302,11/20/21, 0.00,69.28,0.00
303,11/21/21, 0.00,69.28,0.00
304,11/22/21, 0.00,69.28,0.00
305,11/23/21, 0.00,69.28,0.00
306,11/24/21, 0.00,69.28,0.00
307,11/25/21, 0.00,69.28,0.00
308,11/26/21, 0.00,69.28,0.00
309,11/27/21, 0.00,69.28,0.00
310,11/28/21, 0.00,69.28,0.00
311,11/29/21, 0.00,69.28,0.00
312,11/30/21, 0.00,69.28,0.00
313,12/01/21, 0.00,69.28,0.00
314,12/02/21, 0.00,69.28,0.00
315,12/03/21, 0.00,69.28,0.00
316,12/04/21, 0.00,69.28,0.00
317,12/05/21, 0.00,69.28,0.00
318,12/06/21, 0.00,69.28,0.00
319,12/07/21, 0.00,69.28,0.00
320,12/08/21, 0.00,69.28,0.00
321,12/09/21, 0.00,69.28,0.00
322,12/10/21, 0.00,69.28,0.00
323,12/11/21, 0.00,69.28,0.00
324,12/12/21, 0.00,69.28,0.00
325,12/13/21, 0.00,69.28,0.00
326,12/14/21, 0.00,69.28,0.00
